Over,Run Rate-South Africa,Run Rate-Netherlands,Required Run Rate-Netherlands
1,0.0,0.0,0.0
2,4.0,0.0,7.18
3,4.5,2.5,7.22
4,4.329999999999999,3.66,7.25
5,5.75,4.0,7.3
6,5.0,5.2,7.240000000000001
7,4.329999999999999,5.16,7.29
8,3.8500000000000005,5.0,7.37
9,4.5,4.87,7.45
10,4.22,4.44,7.6000000000000005
11,4.3,4.3999999999999995,7.7
12,4.27,4.09,7.87
13,4.079999999999999,3.8299999999999996,8.049999999999999
14,3.9200000000000004,4.0,8.1
15,4.07,3.78,8.299999999999999
16,3.86,3.66,8.480000000000002
17,3.75,3.68,8.61
18,3.94,3.7599999999999993,8.72
19,4.27,3.72,8.9
20,4.259999999999999,3.57,9.159999999999998
21,4.3500000000000005,3.5500000000000003,9.36
22,4.38,3.57,9.549999999999999
23,4.36,3.72,9.64
24,4.34,3.65,9.92
25,4.29,3.66,10.15
26,4.32,3.68,10.4
27,4.38,3.69,10.659999999999998
28,4.48,3.6200000000000006,11.04
29,4.57,3.6,11.4
30,4.68,3.509999999999999,11.900000000000002
31,4.829999999999999,3.5,12.35
32,5.0,3.48,12.840000000000002
33,5.06,3.3999999999999995,13.5
34,5.06,3.36,14.17
35,5.23,3.5,14.559999999999999
36,5.28,,
37,5.27,,
38,5.2700000000000005,,
39,5.31,,
40,5.329999999999999,,
41,5.37,,
42,5.31,,
43,5.57,,
44,5.6000000000000005,,
45,6.04,,
46,6.200000000000001,,
47,6.23,,
48,6.3100000000000005,,
49,6.64,,
50,6.75,,
